Nomer;Massage
36933;ТКПГ-В3/1 повреждено заземление вентилятора
36934;Территория ГП- склад метанола Е16/1,2 огнепреградительные клапана занесены снегом
36935;Вход в помещение электро-химзащиты занесено снегом
36936;ТКРДиМ ПК№8- плохо перереброван рукав
36937;ЗППА-Г102/408 пропуск мала по гидроприводу крана
36938;Слетел защитный колпак с БРС ЗЛТП скв.505.6
36939;Под задавочной линией затрубного пространства (ЗЛЗП) скважины 512.3 обнаружено неплотное прилегание скользящей опоры
36940;Посторонние предметы возле ПОС 514.5
36941;КСК, тепловой пункт. Указатель открытия-закрытия запорной арматуры № 3 в ИТП, нечитаем ввиду износа.
36942;Наледь на ступеньках и перилах лестничного прохода к ЦДМ.
36943;Наледь на пути передвижения от БВП до БППП. Риск падения работника.
36944;поз.101 Нависание снега и льда над входов в помещение насосной.
36945;Оставлена банка краски в слесарной мастерской.
36946;поз.12 Образование наледи на ступенях при входе на площадку обслуживания емкостей.
36947;поз.2 Неиспрана ручка двери эвакуационного выхода из ЗПА.
36948;Заметено снегом площадки обслуживания шлейфов 513,507 на ППА.
36949;"Позиция № 87;89. После чистки территории снегоуборочной техникой, заблокированы проходы на позици."
36950;Позиция № 30 СЭБ. Сломана дверная ручка. Доложено руководителю. 
36951;Позиция №19.1 В камере задвижек позиции не горит лампа освещения. Доложила инженеру УЭВ. 
36952;ПГ-69. После очистки дорог автотракторной техникой от снега и наледи образовалось скопление снега. 
36953;ПГ-58 отсутствует знак F-10 кнопка включения установок пожарной автоматики. Установить знак F-10 на ПГ-58. 
36954;Территория ГП- работники сторонней организации работают в ТКДиМ без средств СИЗ(наушников)
36955;Посаночная лестница на спецтехнике-обледенела(скользкая)
36956;"Территория ГП трубка отбора на ""Метран"" давление газа в ЕП-1-замерзла"
36957;поз.14 Оборвано заземление насоса 50Н-3/2.
36958;"На розетке в ПЭБе отсутствует маркировка номинального напряжения ""220В"". "
36959;Заметена снегом и не читаемая табличка (при движении по лестнице держаться за перила ) на лестничном марше ДЭС-3
36960;"УРДиМ нарушено ЛКП на ""колпаках"" теплообменника Т-401."
36961;В тамбуре здания ИТЦ-1 не греет батарея отопления рядом с эвакуационным выходом №2.
36962;Недостаточный уровень масла в МБД ГПУ-16 ст.№214
36963;поз.3а  т.н. №1 (АВО) не закрыта дверь (для прохода к кнопкам управления)
36964;поз.3 занесён снегом ящик с песком
36965;поз.14 образовалась наледь на ступеньках лестницы
36966;Отсутствуют предупреждающие знаки «Осторожно! Электрическое напряжение» в ЩСУ – 3 АГРС. Слабое крепление выключателя сети освещения склада ГРС
36967;Инвентарь по уборке снега с территории пришел в негодность (лопнул черенок на лопате, рукоятка на черенке сломана, трещина на сварном соединении ледоруба)
36968;Осмотр УКЗ 15км. Неплотное прилегание двери б/б, как следствие задувание снега о после его оттаивания образовалась корка льда на входе, существует риск падения персонала при входе в блок-бокс
36969;Осмотр УКЗ ПК-31. Сломано запорное устройство двери на СКЗ. На светильниках внутри б/б отсутствуют защитные колпачки
36970;Осмотр УКЗ на ПК-108: Отсутствует защитный кожух на месте подключения питающего кабеля на СКЗ, существует риск поражения электрическим током персонала при выполнении обслуживания СКЗ
36971;Периодичность обработки дезинфицирующим средством помещений б. ЛЭС ведется не должным образом, несвоевременно обрабатываются помещения и качество обработки плохое, что в свою очередь может способствовать распространению инфекционных заболеваний
36972;После проведения работ в слесарной мастерской остались не убраны рабочие места, на верстаке не убран инструмент, на полу разбросаны обрезки металла
36973;В тамбуре помещения для курения отсутствует освещение
36974;"На трассоискателе ""Сталкер"" разбито гнездо для подключения наушников, отсутствует постоянный сигнал. В следствии чего, снижается производительность и увеличивается вероятность не точной разбивки трассы газопровода"
36975;"У рабочего по ремонту сантехнического оборудования не исправен инструмент. Раздвижной ключ плохо регулируется и не четко фиксирует нужное положение; разбит накидной ключ, проворачивает при затягивании гаек, срывается. Риск производственного травматизма"
36976;Занесен снегом подход к дизельному резервному источнику электроснабжения газораспределительной станции поселка Ямбург и промбазы ЛЭС 
36977;Маршевая лестница производственного вагончика для хранения огнетушителей заметена снегом. Затруднен доступ в помещение. Нарушено соблюдение отдельных требованиий пожарной безопасности и охраны труда
36978;Выявлены две устаревшие инструкции по охране труда и промышленной безопасности, в папке инструкций мастерской монтеров ЗПТ
36979;Посторонние предметы на площадке ГПА 723.
36980;УОГ на входной двери не исправен замок
36981;загроможден аварийный выход в слесарной мастерской
36982;ЦРДиМ не закреплен крепежный хомут на выходном трубопроводе Н-10А/1
36983;Нарушено уплотнение датчика вибрации на ГПА-123
36984;Занесён снегом подход к крановому узлу №-2.
36985;Скользкая поверхность путей передвижения, подходов к БППП
36986;Наличие пыли на поверхности клеммной коробки XT1
36987;Отсутствует схема оборудования УПТИГа.
36988;Перегорела лампа аварийного освещения перед входом в ПЭБ.
36989;п.304б Плохо читаемы указатели направления потока среды на трубопроводах ДКУ.
36990;Набои снега на ступеных запасного выходо п.324 (ПЭБ).
36991;Подтеки масла под насосом Н-705/1 в НДиМ.
36992;операторная АЗС, в раздевалке не работает освещение
36993;В ходе проверки помещения мастерской МРУ выяснилось, что загрязнен агрегат фильтрующий для отсоса и улавливания пыли на заточном станке.
36994;"Отсутствует знак безопасности "" Держитесь за перила"" возле центрального входа АБК МРУ. ( Возможен травматиз персонала)"
36995;Наледь на пути передвижения  от остановки вахтового транспорта до проходной ГП. Риск падения работника.
36996;Эвакуационный выход засыпан снегом, наледь. Возможно падение сотрудников.
36997;В вахтовом транспорте не работает ремень безопасности место №5. 
36998;"Наледь на пути передвижения  от проходной ГП к БППП. Риск падения работника.
"
36999;"Наледь на пути передвижения  от проходной ГП к СЭБ. Риск падения работника.
"
37000;"Наледь на пути передвижения  от проходной ГП к блок боксу метанола. Риск падения работника.
"
37001;Наледь на ступеньках и перилах лестничного марша СЭБ
37002;Наледь на ступеньках аварийной лестницы СЭБ.
37003;Наносы снега на пути передвижения от СЭБ к БВП.
37004;Наносы снега на пути передвижения от КНС к БВП со стороны РВС.
37005;Наносы снега на пути передвижения от БВП к БППП 
37006;Посторонние предметы в холдном складе БВС.
37007;Посторонние предметы на батарее отопления в сварочном посту БВС.
37008;Не работает освещение в сушилке 2 этаж БВС.
37009;Снег на соединительных коробках, КИПиСА АГРС п.1,п.13,п.24.
37010;Выцвела схема кранового узла №6 Конденсатопровода УКПГ-2В - ПХЗК
37011;Нарушено лкп полов возле к-1/1
37012;Отсутствует схема внешних соединений УКЗ №306
37013;На рукоятке молотка в помещении лаборатории ЭХЗ имеются сколы
37014;"Повреждена табличка указатель направления вращения штурвала в сторону закрытия (""З"") и открытия (""О"") запорной арматуры №5А Конденсатопровода УКПГ-2В - ПХЗК"
37015;Сломан корпус магнитного пускателя в блок-боксе КГС 214
37016;Наледь со снегом на подходных путях к УМС
37017;Пути передвижения к теплому складу частично замело, местами скользкая поверхность, у входа лёд 
37018;Посторонние предметы на путях передвижения теплого склада, коробки возле выхода
37019;Входк складу краски ограничен (замело пандус), двери заблокированы
37020;Наносы снега на пути передвижения от БВП к УАЛКП.
37021;Отсутствует освещение на склае для хранения краски 
37022;Наледь на ступеньках аварийной лестницы БППП. Риск падения работника.
37023;Занесен снегом проход к воздухосборнику В-10/1  компрессорной ЦРДиМ.
37024;Занесен снегом проход к воздухосборнику В-10/3  компрессорной ЦРДиМ.
37025;Посторонние предметы в технологическом отделение поз. 22.1.1
37026;Занесен снегом проход к воздухосборнику В-10/5  компрессорной ЦРДиМ.
37027;Инвентарь по уборке снега с территории пришел в негодность рукоятка на черенке сломана.
37028;Занесен снегом проход к воздухосборнику В-10/6  компрессорной ЦРДиМ.
37029;Наносы снега на пути передвижения от СЭБ к БВП. 
37030;Наносы снега на пути передвижения  от УАЛКП к БППП. Риск падения работника.
37031;Наледь на пути передвижения от котельной “Термакс” к насосной хозяйственно-пожарного водоснабжения. Риск падения работника.   
37032;Наносы снега на проходе к ППА.
37033;ЦРД. Не достаточное освещение модуля ЗРА обслуживания К1/1 ( 1этаж).
37034;Занесен снегом подход к шаровому и крану Г-101-711 ППА.
37035;Занесен снегом подход к шаровому и крану Г-101-712ППА.
37036;Щит распределительный ЩР-2, не соответствие графического наименования автоматических выключателей в схеме и в натуре. После замены авт. выключателей не были внесены изменения в схему.
37037;Кусок льда свисает над центральным входом над РММ. 
37038;Отсутствуют моющие средства и средства личной гигиены в санузле РММ
37039;Отсутствуетпроезд на 411 куст газовых скважин
37040;Нарушена изоляция ГШ ПК38+40
37041;Не плотное прилегание трубопровода на опроре скважина 409-3
37042;Отсутствует обозначение скважины 405-1 
37043;На скважине 411-1 косание фонтанной аорматуры- площадки обслуживания
37044;Территория ГП- на Е 15 после пропарки не убрали пропарочные штанги
37045;ТКПГ А1/3 на дрежном шланге ослаблен крепежный хомут на продувочной линии 
37046;В комнате для курения коммутационная аппаратура в щитке управления обогревателями работает не корректно. Происходит залипание или не срабатывание пускателей, что может привести к перегреву и оплавлению аппаратуры
37047;Неисправно крепление вертикального удержания спинки стула в мастерской РММ ЛЭС. Риск опрокидывания со стула с возможностью получения ушиба или травмы
37048;"Посторонние предметы в теплопункте АГРС ""Промбаза"". Нарушение требований ОТиПБ"
37049;ТКРДиМ на выкидном коллекторе Н16 не исправен манометр
37050;Кабинет ЭХЗ. Протекает чайник, вода на нагревательной подставке чайника. Риск короткого замыкания
37051;На третьем этаже корпуса Г в дверной ручке (дверь при переходе на лестничный марш в стороне женского туалета) не закреплен шуруп (т.е. дверная ручка не закреплена должным образом), что может привести к поломке дверной ручки при открывании двери и потере равновесия работником (и, как следствие, возможному падению). 
37052;ТКРДиМ на Ф2А/2 забит( нет сообщения с атмосферой) воздушник
37053;Посторонние предметы на стойке КИП П-1/4(ПОРМ)
37054;Не достаточное освещение в ОА ГПА №713
37055;Наледь на козырьках СВО ГПА №911-917.
37056;Разряжен аккумулятор на газоанализаторе СГГ-20м №5940
37057;Сломана ручка замка на двери БОА ГПА №911.
37058;Недостаточное освещение в БОА ГПА №911
37059;Наледь на ступеньках при входе в РММ и АБК.
37060;Отсутствует освещение в пожмодуле ГПУ-16 ст.№215
37061;СЭБ на козырьке запасного выхода правого крыла образовался снежный ком, нависающий над пешеходной дорожкой. При падении с высоты масса снега способна причинить тяжкий вред здоровью персонала. Доложено руководителю. .
37062;Позиция 95. Слесараная мастерская, перегорела лампа в светильнике. Доложено инженеру УЭВ. .
37063;КПП нефтебазы. От стоянки автобуса вдоль дороги КПП, скользкая поверхность. Возможность падения и получения травмы. 
37064;Позиция 80 Лабораторный корпус. Не горит светильник. Ухудшение условий труда. Доложено инженеру УЭВ. 
37065;Позиция №34. Выкидной рукав насоса по откачки утечек из приямка, изношен и имеет несколько отверстий, при работе вода льётся на пол. Вероятность падения сотрудников на скользкой поверхности. Доложено руководителю. 
37066;Снег на площадке обслуживания Е-303, Е-304
37067;Перегорела лампа освещения над 30БФ-1 поз.41.
37068;Выходные вентиляционные дефлекторы КНС №1 ЛЭС забиты снежным покровам, отсутствует приток и вытяжка помещения КНС. Возможно пониженное количество кислорода в помещении
37069;РММ УБТДА. Неисправность в работе пульта управления кран-балкой
37070;Заземляющий проводник на КТП с дефектами в виде порывов жил
37071;Отклеился знак 220В над розеткой в кабинете КИПиА
37072;УПГ занесены снегом лестницы входа в цех.
37073;ТКРДиМ Н6/1 ослаблен крепежный хомут на дренаже с корпуса
37074;ТКРДиМ -при пропарке БФ2А пропуск воды по дренажу
37075;ТКРДиМ Н4б/2- вибрация на станине
37076;не обработаны пути перемещения антигололедным покрытием на территории ГП ,АБК
37077;Некорректный перепад на абсорбере А-201/5 В УПГ.
37078;ЦРД Н-4/1 низкий уровень масла в охлождающем маслобаке
37079;Загрязнены полы в БПТиИГ между БОИГ и БО. 
37080;Покрыты инеем (нечитаемы) номера кранов на Т/А №121-126.
37081;Заснеженность площадок обслуживания на П-601.1,2
37082;Отсутствует табличка с указанием рабочего параметра на датчике перепада давления А-201.5
37083;Т/А 312 Посторонние предметы на площадке обслуживания возле кр.9 и кр.12
37084;"Повреждена информационная табличка ""Держаться за перила (поручни) во время передвижения по лестницам перед входной лестницей в здание УОГ"
37085;Посторонние предметы в блок-понтоне корпуса ЦРДиМ
37086;поз. 7 Нависание снега и льда с крыши цеха регенерации.
37087;ЦРД. Не исправна дверная ручка  на двери аварийного выхода со стороны АВО газа.
37088;поз.30 Заметены снегом блоки управления шаровых кранов Ду 1000.
37089;поз.2 Доводчик двери при выходе из цеха не закреплен.
37090;Позиция № 95. Эстакада. Грязная ветошь возле контейнера. 
37091;Позиция № 37. Выцвел знак разведение огня запрещено. . 
37092;АЗС. Здание насосной моторных топлив после обслуживания насосов осталось ведро с протирочным материалом и инструмент. 
37093;Позиция №30. В женском туалете не горит лампочка освещения. 
37094;"Повреждено одно из креплений таблички с указателем ""ВЫХОД"" в тамбуре запасного выхода поз.№30 СЭБ. "
37095;"ЯГТЭС.
ОРУ-110кВ.
Наличие снега внутри шкафа ШР-3."
37096;"ЯГТЭС.
ОРУ-110кВ.
На штурвале крана противопожарного сухотруба ЗРУ-110кВ отсутствует бирка."
37097;"ЯГТЭС.
На входе в ЗРУ-110кВ наличие неактуальной таблички ""Соблюдай безопасную дистанцию"""
37098;"ЯГТЭС.
ЗРУ-110кВ.
Не актуальное информационное табло с указанными ответственными за ПБ."
37099;"ЯГТЭС.
ОРУ-110кВ
Проезд между 3Т и 4Т наличие не идентифицированного шкафа."
37100;"Территория ГП- на автоцистерне при сливо-наливных работах не устрановлен противооткатный"" бошмак"""
37101;ТКРДиМ повышенная вибрация на Н10/5
37102;Компрессорная воздуха КИПа на рессивере В1/3 не корректно показавает манометр
37103;УОК- не правильные показания КОНГ-ПРИМА 2М
37104;ТКПГ маслоемкость Е12 БТДА- пропуск по дренажному ветелю
37105;Б/Б насосной метанола не работает пускатель Н3/1
37106;УПТ при аварийной остановке СН-3 не сработала автоматика переключения на резервный насос
37107;Проотборник ( унос ДЭГа) не корректно показавает перепадчик
37108;ПОРДиП П1/1 визуальное показание открытия шибера не соответствует дейтвительному
37109;поз.95 , в мастерской неисправен дверной замок
37110;При перидвижении в вахтовом транспорте работник сторонней организации не пристегнут ремнем безопасности
37111;Территория ГП- наледь на переходной лестнице (путь следования на ДКС)
37112;Заметены снегом стекла манометров на БФ ГПУ-114
37113;Нарушено лкп арматурного блока К-1/2
37114;Территория ГП- сигнальный флажек обозначения места трубопровода КНС погнут
37115;Наледь на площадке обслуживания ПТПГ-30-1.2
37116;Сломан доводчик входной двери РММ.
37117;Наносы снега на лестнице и площадка обслуживания склада смазок.
37118;Свисание снега с козырька при входе в ЦПГ.
37119;Не убран рабочий инструмент около Н-10 в ЦРДиМ.
37120;Наличие стружки возле заточного станка в БВС.
37121;Низкий уровень масла в лубрикаторе ВК-1 Компрессорной ЦРДиМ.
37122;Посторонние предметы в блок боксе склада метанола.
37123;Отсутствует уличное освещение у входа в склад смазок.
37124;Дорожки перемещения по территории базы ЛЭС не посыпаны песком
37125;Наледь на площадке обслуживание первой группы.
37126;Не посыпаны песком пути передвижения по ДКС.
37127;На козырьке входной двери в здание ЛЭС имеется снег
37128;Подтеки масла вцеховом маслохозяйстве 1 очереди.
37129;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №6. Въездные ворота занесены снегом, проход на установку ограничен. Отлетела бирка над розеткой 220В
37130;Харвутинский купол. Обход (технический осмотр) бригадой установок катодной защиты. УКЗ №3. Слабые контакты отходящей линии от станции, требуется протяжка
37131;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №4. Наносы коррозии в местах заземления ПЭТ
37132;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №7. Отсутствует наружное освещение. Наледь и снег перед входом в установку
37133;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №1. Сугроб перед входом в установку. Наледь со снегом на козырьке. Выцвело две бирки отходящей линии от станции
37134;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №5. Заметены въездные ворота на территорию установки. Заедает замок входной двери (доступ частично ограничен)
37135;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №8. Отсутствует внутреннее освещение установки. Требуется замена однолинейной схемы (размыта из-за попадания влаги)
37136;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №11. Наносы коррозии в местах заземления станции
37137;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №9. Искрит выключатель внутреннего освещения. Выцвела бирка анодной линии
37138;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №12. Сосульки на козырьке установки, лед на перилах и пандусе установки
37139;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №10. Замерз замок входной двери (доступ в станцию ограничен). Слабые контакты отходящей линии от станции, требуется протяжка 
37140;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №13. Требуется протяжка анодной и катодной линии. 
37141;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №14. Наледь на пандусе установки. Примерзла дверь в установку (доступ ограничен)
37142;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №15. Нестабильная работа блока аварийного включения резерва
37143;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №18. Занесены снегом ворота к установке (доступ ограничен). Отпал знак заземления на станции
37144;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №19. Перегорела лампа наружного освещения. Нестабильная работа центрального блока станции
37145;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №16. Наносы коррозии в местах заземления ЩО
37146;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №17. Снежная шапка над входом в установку, сугробом закрыт доступ входа к станции
37147;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №21. Замело площадку от ворот до установки. Заедает замок дверцы станции катодной защиты
37148;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №20. Плохой контакт анодной линии, требуется протяжка
37149;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №2. Требуется протяжка контактов контрольно-измерительного пункта (нестабильные показатели)
37150;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №23. заметены снегом въездные ворота к установке (доступ ограничен). Требуется замена диэлектрического коврика
37151;Харвутинский купол. Обход (техническое обслуживание) бригадой установок катодной защиты. УКЗ №22. Наносы коррозии в местах заземления обогревателя. Требуется замена таблички места расположения огнетушителя (треснута)
37152;Материальный склад ГПУ. Замерз замок входных дверей, доступ в помещение ограничен (снег у входной двери)
37153;Материальный склад ГПУ. Мусор (упаковки коробок) на входе склада в местах проходных путей
37154;Отсутствует дата проверки электробытового прибора (чайник) в кабинете электромехаников
37155;УРДиМ посторонние предметы на площадке обслуживания Е-412.
37156;Снег на площадке обслуживания Кр-502
37157;Сосульки над входом в здание ПЭБ.
37158;Недостаточно освещения в отсеке нагнетателя на Т/А №114.
37159;Недостаточно освещения в ОМА. ГПА №713.
37160;Подтеки  воды под фильтром ФОВ/1 В УЗСП.
37161;На ЗРА №13 скв.510.2 слетел колпак от атмосферных осадков.
37162;Касание ПОС 502.5 элементов ЗРА ФА. Необходимо подвинуть ПОС.
37163;Наледь на путях передвижения от проходной к БППП
37164;поз.71 мастерская КИП - надломилась спинка стула 
37165;поз.71 в результате осмотра ручного слесарного инструмента выявлено - рассохлась рукоятка у молотка
37166;Не горит освещение аварийного выхода №2 ПЭБ
37167;Наледь на ступенях лестницы входа БППП
37168;Нарушено заземление на НПМД ГПА№914
37169;Занесено снегом подходы к УПТИиУГ.
37170;Недостаточное освещение в отсеке нагнетателя ГПА-16 ст.№221.
37171;Постороннии предметы в коридоре первого этажа СЭБ
37172;Расслабленно крепление заземляющего провода на РУД-01
37173;Образование скользкой поверхности на проходных путях от РММ до АБК
37174;Образование скользкой поверхности на путях передвижения ГРС
37175;Образование скользкой поверхности на подходных путях к материальному складу базы ЛЭС
37176;ВЖК-4 (столовая). Граненый стакан на подносе с сильным сколом. Имеется вероятность порезаться в процессе употребления напитка
37177;Посторонние предметы на шкафах для переодевания у электромонтеров (пакет с вещами и две отвертки)
37178;Мокрый пол возле стиральной машинки для спецодежды в РММ (протек уплотнитель)
37179;Сушильный шкаф №2 неисправен (не работает автоматический режим отключения). Возможен выход из строя системы, если работники забудут отключить вручную сушильный шкаф после завершения смены
37180;Две разбитые лампы на второй полке хранения в складе электромонтеров
37181;"Занесен снегом знак ""Держитесь за поручень"" при подъёме на площадку открытого склада"
37182;Территория ГП-на ПГ№4 свернут штурвал
37183;УОК-не работает разграничитель потока на В2/1,2
37184;ТКРДиМ- дренажный коллектор Ду 50 возле К1а в  Е8а пропуск по фланцевому соединению
37185;БППП-вышел из строя ( не корректные показания ) датчика наружней температуры
37186;Разукомплектована аптечка в аварийном запасе материалов и оборудования ЛЭС
37187;ТКРДиМ- заглушки установленные на дренаже БФ1/1,3( хвостовики не окрашены) и установлены в плохо виднеющемся положении
37188;"ТКПГ -венткамера на В/1,2 на рукоятке положения отслоилось нанесенное обозначение ""О"" и ""З"""
37189;Проходная ГП-огнетушитель ОП№10№110 низкое давление
37190;ПОРДиМ П1а/2 забита трубка отбора показания разрежения 
37191;В операторной АЗС-750 ослабло крепление доводчика входной двери.
37192;Территория ГП- КОНГ- ПРИМА 2м ,находящмйся до Г-520 просрочен срок поверки
37193;ТКРДиМ -находящийся в ремонте Н6/5 ( снятый электродвигатель ) загораживает эвакуационный выход
37194;Наледь на пути передвижения  от остановки вахтового транспорта до проходной ГП. Риск падения работника.
37195;Наледь на ступеньках и перилах лестницы входа проходной ГП. 
37196;Наледь на ступеньках и перилах лестничного марша СЭБ
37197;БППП 1эт датчик ИП-212(возле курительной комнаты оперативного персонала) ложное срабатывание
37198;«Красная метка» на манометре (давление топливного газа на БФ ГПА-125) смещена от регламентированного значения
37199;АБК-при проверке речевого оповещения тихо слышно
37200;ТКПГ БТДА№8 рукоятка управления гидропривода Г-204 отсутствует
37201;ЗППА-отсутствует крепежный хамут на факельном коллекторе местной свечи
37202;Подход к маршевой лестнице входа в цех покрыт наледью. 
37203;Заметен снегом подход к посту загазованности.
37204;Неисправен доводчик двери ОН.
37205;Обледенение путей передвижения по маршруту АБК - БППП.
37206;Снег на площадках обслуживания УП. КЦ №2.
37207;Покрыты инеем (нечитаемы) предупредительные таблички на запасном выходе ПЭБА.
37208;Пыль и загрязнения на поверхности вентиляционного оборудования.
37209;Посторонние предметы возле насоса Н-306 (УРД).
37210;"Прослаблена гайка крепления маховика крана №14
ГПА№911"
37211;Обледенение по пути передвижения от КПП до ДКС. Риск падения работника
37212;КЦ-2. АВО г. Отсутствует табличка кр №50.
37213;Посторонние предметы П-1/3 УПТ
37214;Нарушено лкп полов внутри отбортовки арматурного блока К-1/1
37215;Подходы путей эвакуации АГРС Поз.13 завалены снегом.
37216;На дефлекторе подогревателя газа ПТПГ 30 №2 образование большого объема льда, над площадкой для обслуживания.
37217;Поз.1 Не работает светильник аварийного освещения в РУ-1 0,4 кВ.
37218;Поз.48  Не работает вытяжной вентилятор удаления испарений бытовых стоков КНС.
37219;поз №72 крышка от мусорного бака лежит на снегу 
37220;КГС №17 на задвижки отсутствует указатель открыто-закрыто 
37221;Заметены снегом стекла манометров на БФ ГПА-124
37222;Занесены снегом площадки обслуживания крановых узлов, группы ГПА №1,№2.
37223;Отсутствуют маховики на вентилях в блок-боксе мерных ёмкостей.
37224;Посторонние предметы в помещении БРГ (гаечный ключ). АГРС.
